date,username,time,task,computer,stimfile
05/22/2017,gru,22-May-2017 14:18:06,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s362/170522_stim01.mat
05/22/2017,gru,22-May-2017 14:23:31,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s362/170522_stim02.mat
05/22/2017,gru,22-May-2017 14:28:22,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s362/170522_stim03.mat
05/22/2017,gru,22-May-2017 14:33:01,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s362/170522_stim04.mat
05/22/2017,gru,22-May-2017 14:35:26,cogneuro_attention_eshed.m,oban.stanford.edu,~/data/cogneuro_attention_eshed/s362/170522_stim05.mat
05/22/2017,gru,22-May-2017 14:43:54,cogneuro_attention_eshed.m,oban.stanford.edu,~/data/cogneuro_attention_eshed/s362/170522_stim06.mat
05/22/2017,gru,22-May-2017 14:51:36,cogneuro_attention_eshed.m,oban.stanford.edu,~/data/cogneuro_attention_eshed/s362/170522_stim07.mat
05/22/2017,gru,22-May-2017 15:00:18,cogneuro_attention_eshed.m,oban.stanford.edu,~/data/cogneuro_attention_eshed/s362/170522_stim08.mat
05/22/2017,gru,22-May-2017 15:08:09,cogneuro_attention_eshed.m,oban.stanford.edu,~/data/cogneuro_attention_eshed/s362/170522_stim09.mat
05/22/2017,gru,22-May-2017 15:15:52,cogneuro_attention_eshed.m,oban.stanford.edu,~/data/cogneuro_attention_eshed/s362/170522_stim10.mat
